	Taak		Termijn		Laatste onderhoud	Volgende onderhoud		Uitgevoerd door 	Opmerkingen + nodige aanpassingen aan onderhoudsplan	Laatste opmerking
	AFROLLER		T							
	vervangen of uitblazen  luchtfilters 		4	M	22/10/2025	22/02/2026	Week 09	Kristof		
	smeren smeernippels vouwer - castrol pd1		4	M	27/12/2023	27/04/2024	Week 17	Mustapha	 	
	reinigen infeed rol met water 		6	M	11/04/2024	11/10/2024	Week 41	robby	Aandrukrol vervangen Infeed (25/03/2022)	28.03.2022 | 18:46
	uitblazen afroller		3	M	02/07/2025	02/10/2025	Week 40	Kristof 		
	controle riemen afroller ARM A + indien nodig vervangen		6	M	18/07/2025	18/01/2026	Week 04		Revisie conussen afroller enz.........	10.05.2019 | 07:40
	controle riemen afroller ARM B + indien nodig vervangen		6	M	18/07/2025	18/01/2026	Week 04	KBA	2 Riemen vervangen 15/05/2025	19.05.2025 | 09:36
	reinigen chassis afroller		1	J	27/12/2023	27/12/2024	Week 52	Mustapha		19.05.2025 | 09:36
	stofzuigen  elektriciteitskasten afroller		4	M	27/12/2023	27/04/2024	Week 17	Mustapha		
	DRUKGROEPEN		T			???				
	kalibreren van technotrans sonde 		4	M	06/01/2025	06/05/2025	Week 19	Tom Desmet		21.09.2023 | 13:50
Maandag voor opstart |	inktrollen wassen + nazicht bij rakel op alle rollen droog , n-ok = rollen regelen		14	D	15/11/2025	29/11/2025	Week 48	Steven		12.03.2020 | 15:56
Maandag voor opstart |	feuters vervangen (vroege ploeg) 		14	D	26/11/2025	10/12/2025	Week 50	Steven		
	rubbers aanspannen drukgroepen 4stuks front		2	M	06/01/2026	06/03/2026	Week 10	Ploeg Mustapha		05.10.2023 | 09:06
	rubbers aanspannen drukgroepen 4stuks back		2	M	06/01/2026	06/03/2026	Week 10	Ploeg Mustapha		05.10.2023 | 09:06
	inkt en vuilresten verwijderen tussen rubberdoek kanaal 		14	D	18/11/2025	02/12/2025	Week 49	Mustapha		26.02.2025 | 03:51
	reinigen plaatcilinders en uitblazen plaatkanaal 		4	M	13/08/2025	13/12/2025	Week 50	Mustapha		
	reinigen  Technotrans		21	D	05/12/2025	26/12/2025	Week 52	Mustapha		26.02.2025 | 03:51
	Controle plaatrollen inkt-vocht									
	D11 | Black Front | Controle plaatrollen inkt-vocht	Black Front	4	M	17/01/2025	17/05/2025	Week 20	Koen Vermeire		
	D11 | Black Back | Controle plaatrollen inkt-vocht	Black Back	4	M	17/01/2025	17/05/2025	Week 20	Koen Vermeire		
	D12 | Cyan Front | Controle plaatrollen inkt-vocht	Cyan Front	4	M	09/05/2025	09/09/2025	Week 37	Steven		26.02.2025 | 03:52
	D12 | Cyan Back | Controle plaatrollen inkt-vocht	Cyan Back	4	M	09/05/2025	09/09/2025	Week 37	Steven		26.02.2025 | 03:52
	D13 | Magenta Front | Controle plaatrollen inkt-vocht	Magenta Front	4	M	17/01/2025	17/05/2025	Week 20	Koen Vermeire		26.02.2025 | 03:52
	D13 | Magenta Back | Controle plaatrollen inkt-vocht	Magenta Back	4	M	17/01/2025	17/05/2025	Week 20	Koen Vermeire		26.02.2025 | 03:52
	D14 | Yellow Front | Controle plaatrollen inkt-vocht	Yellow Front	4	M	18/02/2025	18/06/2025	Week 25	Mustapha	  plaatrol vervangen	19.02.2025 | 11:48
	D14 | Yellow Back | Controle plaatrollen inkt-vocht	Yellow Back	4	M	17/01/2025	17/05/2025	Week 20	Koen Vermeire		19.02.2025 | 11:47
	Ventilator uitkuisen vochtrollen		2	M	25/04/2024	25/06/2024	Week 26	Ploeg Koen		23.03.2021 | 09:08
	controle wasrakels , indien nodig vervangen - 4stuks front		4	M	08/05/2025	08/09/2025	Week 37	Ploeg Koen	MAGENTA VERVANGEN	04.10.2023 | 12:51
	controle wasrakels , indien nodig vervangen - 4stuks back		4	M	08/05/2025	08/09/2025	Week 37	Ploeg Koen	geel vevangen 03/01/2023	03.01.2023 | 04:46
	reinigen opvangbakjes wasrakels 4stuks front		3	M	08/05/2025	08/08/2025	Week 32	Kurt		
	reinigen opvangbakjes wasrakels 4stuks back		3	M	8/5/2025	08/08/2025	Week 32	Kurt		06.07.2020 | 15:11
	reinigen  plaatcassettes 8 stuks		6	M	15/01/2025	15/07/2025	Week 29	Ploeg Mustapha		
	doorspoelen van alle oxydry afvoerleidingen met warm water + controle tussentank + hoofdafvoer doorspoelen		6	M	30/01/2024	30/07/2024	Week 31	Koen Vermeire		
	controle + bijvullen vetsmering drukgroepen -  vet :  kba L0825113 (wit)		6	M	12/02/2025	12/08/2025	Week 33	Steven		
	BIJVULLEN OLIE SMERING SMETLIJSTEN DRUKGROEPEN  (ARAL DEGOL BMB 100)		6	M	27/03/2025	27/09/2025	Week 39	Steven		
	Reinigen Oxy-Dry opvangbakken									
	D11 | Black Front | Reinigen Oxy-Dry opvangbakken	Black Front	2	M	04/12/2025	04/02/2026	Week 06	Ploeg Koen		
	D11 | Black Back | Reinigen Oxy-Dry opvangbakken	Black Back	2	M	05/12/2025	05/02/2026	Week 06	Ploeg Koen		
	D12 | Cyan Front | Reinigen Oxy-Dry opvangbakken	Cyan Front	2	M	04/12/2025	04/02/2026	Week 06	Ploeg Koen		
	D12 | Cyan Back | Reinigen Oxy-Dry opvangbakken	Cyan Back	2	M	05/12/2025	05/02/2026	Week 06	Ploeg Koen		
	D13 | Magenta Front | Reinigen Oxy-Dry opvangbakken	Magenta Front	2	M	06/01/2026	06/03/2026	Week 10	Koen Vermeire		
	D13 | Magenta Back | Reinigen Oxy-Dry opvangbakken	Magenta Back	2	M	05/12/2025	05/02/2026	Week 06	Ploeg Koen	/	13.01.2023 | 08:29
	D14 | Yellow Front | Reinigen Oxy-Dry opvangbakken	Yellow Front	2	M	04/12/2025	04/02/2026	Week 06	Ploeg Koen		
	D14 | Yellow Back | Reinigen Oxy-Dry opvangbakken	Yellow Back	2	M	05/12/2025	05/02/2026	Week 06	Ploeg Koen		
	inktgeleidende plaat  - doorsteken van papier 		4	M	18/09/2025	18/01/2026	Week 04	koen		
	reinigen waterbakken boven 4 stuks		3	M	08/01/2025	08/04/2025	Week 15	steven	waterbak magenta boven gekuist 08/10/2025	09.10.2025 | 04:23
	reinigen waterbakken onder 4 stuks		3	M	02/07/2025	02/10/2025	Week 40			02.07.2021 | 01:37
	Inktbak uitscheppen + verharde inktresten verwijderen aan inktmes + ductors  inwrijven met pasta									
	D11 | Black Front | Inktbak uitscheppen + inwrijven met pasta	Black Front	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen		
	D11 | Black Back | Inktbak uitscheppen + inwrijven met pasta	Black Back	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen	25/01	01.02.2024 | 00:45
	D12 | Cyan Front | Inktbak uitscheppen + inwrijven met pasta	Cyan Front	4	M	09/01/2026	09/05/2026	Week 19	Steven	Duktor ingewreven met pasta (01/12/2022).	01.12.2022 | 13:47
	D12 | Cyan Back | Inktbak uitscheppen + inwrijven met pasta	Cyan Back	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen		
	D13 | Magenta Front | Inktbak uitscheppen + inwrijven met pasta	Magenta Front	4	M	29/11/2025	29/03/2026	Week 14			
	D13 | Magenta Back | Inktbak uitscheppen + inwrijven met pasta	Magenta Back	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen		
	D14 | Yellow Front | Inktbak uitscheppen + inwrijven met pasta	Yellow Front	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen	Opvangbakken onder inktbak volledig vol (alles aan het overlopen)!! 28-09-2018	
	D14 | Yellow Back | Inktbak uitscheppen + inwrijven met pasta	Yellow Back	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen		
	olie en filters vervangen drukgroepen		1	J	17/02/2024	17/02/2025	Week 08	Steven	Filters  vervangen, olie bijgevuld! (17/02/2024).	02.03.2024 | 10:02
	vochtwerk circuleren ( 1007) + naspoelen		2	M	05/12/2025	05/02/2026	Week 06	Mustapha		
	reinigen voelers waterbakken 		14	D	06/01/2026	20/01/2026	Week 04	Steven		14.06.2021 | 06:41
	reinigen afdekkapjes motoren drukgroepen		6	M	02/02/2024	02/08/2024	Week 31		Ventilatoren uitgeblazen motoren vochtwerk (11/09/2019)	11.09.2019 | 08:37
	Rollen afstellen & indien nodig vervangen									
	D11 | Black Front | Rollen afstellen & indien nodig vervangen	Black Front	1	J	10/04/2024	10/04/2025	Week 15	Steven		26.02.2025 | 03:52
	D11 | Black Back | Rollen afstellen & indien nodig vervangen	Black Back	1	J	25/04/2024	25/04/2025	Week 17	Steven		26.02.2025 | 03:52
	D12 | Cyan Front | Rollen afstellen & indien nodig vervangen	Cyan Front	1	J	09/05/2025	09/05/2026	Week 19	Steven		26.02.2025 | 03:52
	D12 | Cyan Back | Rollen afstellen & indien nodig vervangen	Cyan Back	1	J	09/05/2025	09/05/2026	Week 19	Steven		26.02.2025 | 03:52
	D13 | Magenta Front | Rollen afstellen & indien nodig vervangen	Magenta Front	1	J	24/05/2024	24/05/2025	Week 21	Steven		26.02.2025 | 03:52
